gamma_id,test_name,regime,behavior,timeline,timeline_confidence,confidence,n_runs,n_valid,pathology_numeric_instability,pathology_oscillatory,pathology_collapse,pathology_trivial,robust_homogeneous,robust_mixed_behavior,robust_numerically_stable
GAM-001,GRA-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.785,low,200,0,False,False,False,False,True,False,False
GAM-001,PAT-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.8846153846153846,low,260,0,False,False,False,False,True,False,False
GAM-001,SPA-001,MIXED::SATURATES_HIGH,mixed,early_instability_to_saturation_complex,0.95,low,200,0,False,False,False,False,False,True,False
GAM-001,SPE-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.85,low,200,0,False,False,False,False,False,False,False
GAM-001,SPE-002,CONSERVES_X,stable,early_instability_to_saturation_complex,0.85,low,200,0,False,False,False,False,False,False,False
GAM-001,SYM-001,MIXED::SATURATES_HIGH,mixed,early_instability_to_saturation_complex,0.7,low,200,0,False,False,False,False,False,True,False
GAM-001,TOP-001,MIXED::CONSERVES_X,mixed,late_saturation_only,1.0,low,200,0,False,False,False,False,False,True,True
GAM-001,UNIV-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.95,low,200,0,False,False,False,False,True,False,False
GAM-001,UNIV-002,MIXED::CONSERVES_X,mixed,early_instability_to_saturation_complex,0.48,low,200,0,False,False,False,False,False,True,False
GAM-002,GRA-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.835,low,200,0,False,False,False,False,False,False,False
GAM-002,PAT-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_then_saturation,0.595,low,200,0,False,True,False,False,True,False,False
GAM-002,SPA-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.83,low,200,0,False,False,False,False,True,False,False
GAM-002,SPE-001,MIXED::OSCILLATORY_UNSTABLE,mixed,early_instability_to_saturation_complex,0.295,low,200,0,False,True,False,False,False,True,False
GAM-002,SPE-002,MIXED::OSCILLATORY_UNSTABLE,mixed,early_instability_to_saturation_complex,0.295,low,200,0,False,True,False,False,False,True,False
GAM-002,SYM-001,MIXED::DEGRADING,mixed,early_instability_then_deviation,0.6,low,200,0,False,False,False,False,False,True,False
GAM-002,TOP-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.61,low,200,0,False,False,True,False,False,False,False
GAM-002,UNIV-001,MIXED::CONSERVES_X,mixed,early_instability_to_saturation_complex,0.74,low,200,0,False,False,False,False,False,True,False
GAM-002,UNIV-002,MIXED::OSCILLATORY_UNSTABLE,mixed,oscillatory_early_instability_to_saturation_complex,0.71,low,200,0,False,True,False,False,False,True,False
GAM-003,GRA-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.785,low,200,0,False,False,False,False,True,False,False
GAM-003,PAT-001,CONSERVES_X,stable,late_saturation_only,1.0,low,260,0,False,False,False,False,True,False,True
GAM-003,SPA-001,MIXED::CONSERVES_X,mixed,late_saturation_only,1.0,low,200,0,False,False,False,False,False,True,True
GAM-003,SPE-001,MIXED::UNCATEGORIZED,mixed,early_deviation_then_instability,0.95,low,200,0,False,False,False,False,False,True,False
GAM-003,SPE-002,MIXED::UNCATEGORIZED,mixed,early_deviation_then_instability,0.95,low,200,0,False,False,False,False,False,True,False
GAM-003,SYM-001,MIXED::UNCATEGORIZED,mixed,early_deviation_then_instability,0.75,low,200,0,False,False,False,False,False,True,False
GAM-003,TOP-001,MIXED::CONSERVES_X,mixed,late_saturation_only,1.0,low,200,0,False,False,False,False,False,True,True
GAM-003,UNIV-001,UNCATEGORIZED,uncategorized,early_deviation_then_instability,1.0,low,200,0,False,False,False,False,False,False,False
GAM-003,UNIV-002,MIXED::UNCATEGORIZED,mixed,early_deviation_then_instability,0.9,low,200,0,False,False,False,False,False,True,False
GAM-004,GRA-001,TRIVIAL,stable,early_instability_to_saturation_complex,0.925,low,200,0,False,False,False,True,True,False,False
GAM-004,PAT-001,CONSERVES_X,stable,late_saturation_only,1.0,low,260,0,False,False,False,False,True,False,True
GAM-004,SPA-001,TRIVIAL,stable,mid_instability_to_saturation_complex,0.885,low,200,0,False,False,False,True,True,False,False
GAM-004,SPE-001,TRIVIAL,stable,early_instability_to_collapse_complex,0.9,low,200,0,False,False,True,True,True,False,False
GAM-004,SPE-002,TRIVIAL,stable,early_instability_to_collapse_complex,0.9,low,200,0,False,False,True,True,True,False,False
GAM-004,SYM-001,TRIVIAL,stable,early_instability_to_collapse_complex,0.7,low,200,0,False,False,True,True,True,False,False
GAM-004,TOP-001,MIXED::CONSERVES_X,mixed,late_saturation_only,1.0,low,200,0,False,False,False,False,False,True,True
GAM-004,UNIV-001,TRIVIAL,stable,early_instability_to_collapse_complex,1.0,low,200,0,False,False,True,True,True,False,False
GAM-004,UNIV-002,TRIVIAL,stable,early_instability_to_saturation_complex,0.84,low,200,0,False,False,False,True,True,False,False
GAM-005,GRA-001,TRIVIAL,stable,early_instability_to_saturation_complex,0.925,low,200,0,False,False,False,True,True,False,False
GAM-005,PAT-001,CONSERVES_X,stable,late_saturation_only,1.0,low,260,0,False,False,False,False,True,False,True
GAM-005,SPA-001,TRIVIAL,stable,early_instability_to_saturation_complex,1.0,low,200,0,False,False,False,True,True,False,False
GAM-005,SPE-001,TRIVIAL,stable,early_instability_to_collapse_complex,0.9,low,200,0,False,False,True,True,True,False,False
GAM-005,SPE-002,TRIVIAL,stable,early_instability_to_collapse_complex,0.9,low,200,0,False,False,True,True,True,False,False
GAM-005,SYM-001,TRIVIAL,stable,early_instability_to_collapse_complex,0.7,low,200,0,False,False,True,True,True,False,False
GAM-005,TOP-001,MIXED::OSCILLATORY_UNSTABLE,mixed,oscillatory_early_deviation_only,0.605,low,200,0,False,True,False,False,False,True,True
GAM-005,UNIV-001,TRIVIAL,stable,early_instability_to_collapse_complex,1.0,low,200,0,False,False,True,True,True,False,False
GAM-005,UNIV-002,TRIVIAL,stable,early_instability_to_saturation_complex,0.84,low,200,0,False,False,False,True,True,False,False
GAM-006,GRA-001,TRIVIAL,stable,early_instability_to_saturation_complex,0.925,low,200,0,False,False,False,True,True,False,False
GAM-006,PAT-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_to_saturation_complex,0.2923076923076923,low,260,0,False,True,False,False,True,False,False
GAM-006,SPA-001,MIXED::CONSERVES_X,mixed,early_instability_to_saturation_complex,0.95,low,200,0,False,False,False,False,False,True,False
GAM-006,SPE-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.9,low,200,0,False,False,False,False,False,False,False
GAM-006,SPE-002,CONSERVES_X,stable,early_instability_to_saturation_complex,0.9,low,200,0,False,False,False,False,False,False,False
GAM-006,SYM-001,MIXED::CONSERVES_X,mixed,early_instability_to_saturation_complex,0.6,low,200,0,False,False,False,False,False,True,False
GAM-006,TOP-001,MIXED::CONSERVES_X,mixed,late_saturation_only,0.9,low,200,0,False,False,False,False,False,True,False
GAM-006,UNIV-001,CONSERVES_X,stable,early_instability_to_saturation_complex,1.0,low,200,0,False,False,False,False,True,False,False
GAM-006,UNIV-002,MIXED::OSCILLATORY_UNSTABLE,mixed,oscillatory_early_instability_to_saturation_complex,0.66,low,200,0,False,True,False,False,False,True,False
GAM-007,GRA-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.815,low,200,0,False,False,False,False,False,False,False
GAM-007,PAT-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_then_saturation,0.62,low,200,0,False,True,False,False,True,False,False
GAM-007,SPA-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.84,low,200,0,False,False,False,False,True,False,False
GAM-007,SPE-001,MIXED::OSCILLATORY_UNSTABLE,mixed,early_instability_to_saturation_complex,0.32,low,200,0,False,True,False,False,False,True,False
GAM-007,SPE-002,MIXED::OSCILLATORY_UNSTABLE,mixed,early_instability_to_saturation_complex,0.32,low,200,0,False,True,False,False,False,True,False
GAM-007,SYM-001,MIXED::DEGRADING,mixed,early_instability_then_deviation,0.6,low,200,0,False,False,False,False,False,True,False
GAM-007,TOP-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.645,low,200,0,False,False,False,False,False,False,False
GAM-007,UNIV-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.705,low,200,0,False,False,False,False,False,False,False
GAM-007,UNIV-002,MIXED::OSCILLATORY_UNSTABLE,mixed,oscillatory_early_instability_to_saturation_complex,0.72,low,200,0,False,True,False,False,False,True,False
GAM-008,GRA-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.785,low,200,0,False,False,False,False,True,False,False
GAM-008,PAT-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.8846153846153846,low,260,0,False,False,False,False,True,False,False
GAM-008,SPA-001,MIXED::SATURATES_HIGH,mixed,early_instability_to_saturation_complex,0.95,low,200,0,False,False,False,False,False,True,False
GAM-008,SPE-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.85,low,200,0,False,False,False,False,False,False,False
GAM-008,SPE-002,CONSERVES_X,stable,early_instability_to_saturation_complex,0.85,low,200,0,False,False,False,False,False,False,False
GAM-008,SYM-001,MIXED::SATURATES_HIGH,mixed,early_instability_to_saturation_complex,0.7,low,200,0,False,False,False,False,False,True,False
GAM-008,TOP-001,MIXED::CONSERVES_X,mixed,late_saturation_only,1.0,low,200,0,False,False,False,False,False,True,True
GAM-008,UNIV-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.95,low,200,0,False,False,False,False,True,False,False
GAM-008,UNIV-002,MIXED::CONSERVES_X,mixed,early_instability_to_saturation_complex,0.48,low,200,0,False,False,False,False,False,True,False
GAM-009,GRA-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_deviation_then_saturation,1.0,low,200,0,False,True,False,False,True,False,True
GAM-009,PAT-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_late_saturation_only,0.49230769230769234,low,260,0,False,True,False,False,True,False,False
GAM-009,SPA-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_deviation_only,1.0,low,200,0,False,True,False,False,True,False,True
GAM-009,SPE-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_to_saturation_complex,0.88,low,200,0,False,True,False,False,True,False,False
GAM-009,SPE-002,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_to_saturation_complex,0.88,low,200,0,False,True,False,False,True,False,False
GAM-009,SYM-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_to_saturation_complex,0.7,low,200,0,False,True,False,False,True,False,False
GAM-009,TOP-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_deviation_only,1.0,low,200,0,False,True,False,False,True,False,True
GAM-009,UNIV-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_to_saturation_complex,1.0,low,200,0,False,True,False,False,True,False,False
GAM-009,UNIV-002,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_deviation_only,0.56,low,200,0,False,True,False,False,True,False,False
GAM-010,GRA-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_deviation_only,0.91,low,200,0,False,True,False,False,True,False,False
GAM-010,PAT-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_late_deviation_then_saturation,0.5307692307692308,low,260,0,False,True,False,False,True,False,True
GAM-010,SPA-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_deviation_only,1.0,low,200,0,False,True,False,False,True,False,True
GAM-010,SPE-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_then_deviation,0.595,low,200,0,False,True,False,False,False,False,False
GAM-010,SPE-002,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_then_deviation,0.595,low,200,0,False,True,False,False,False,False,False
GAM-010,SYM-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_to_saturation_complex,0.695,low,200,0,False,True,False,False,True,False,False
GAM-010,TOP-001,MIXED::CONSERVES_X,mixed,late_saturation_only,1.0,low,200,0,False,False,False,False,False,True,True
GAM-010,UNIV-001,OSCILLATORY_UNSTABLE,unstable,oscillatory_early_instability_to_saturation_complex,0.9,low,200,0,False,True,False,False,True,False,False
GAM-010,UNIV-002,MIXED::OSCILLATORY_UNSTABLE,mixed,oscillatory_early_instability_then_deviation,0.515,low,200,0,False,True,False,False,False,True,False
GAM-012,GRA-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.905,low,200,0,False,False,False,False,True,False,False
GAM-012,PAT-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.9,low,200,0,False,False,False,False,True,False,False
GAM-012,SPA-001,MIXED::SATURATES_HIGH,mixed,early_instability_to_saturation_complex,0.95,low,200,0,False,False,False,False,False,True,False
GAM-012,SPE-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.85,low,200,0,False,False,False,False,False,False,False
GAM-012,SPE-002,CONSERVES_X,stable,early_instability_to_saturation_complex,0.85,low,200,0,False,False,False,False,False,False,False
GAM-012,SYM-001,TRIVIAL,stable,early_instability_to_collapse_complex,0.7,low,200,0,False,False,True,True,True,False,False
GAM-012,TOP-001,CONSERVES_X,stable,late_saturation_only,0.355,low,200,0,False,False,False,False,False,False,False
GAM-012,UNIV-001,CONSERVES_X,stable,early_instability_to_saturation_complex,0.9,low,200,0,False,False,False,False,True,False,False
GAM-012,UNIV-002,MIXED::CONSERVES_X,mixed,early_instability_to_saturation_complex,0.48,low,200,0,False,False,False,False,False,True,False
